6.3e-01,1.1e+00,6.8e-01,-1.3e+00,-1.9e+00,-4.1e-01,-6.1e-02,5.3e-01,-4.1e-01,-1.4e+00
7.9e-01,3.5e-01,-1.7e+00,-6.5e-01,8.9e-01,8.3e-01,-6.2e-01,4.0e-01,-1.2e+00,4.8e-03
1.4e-01,3.5e-01,-5.7e-01,1.6e+00,1.5e-01,1.3e-01,-6.9e-02,3.2e-01,8.9e-01,9.7e-01
1.1e+00,-3.2e-01,-8.3e-01,-9.6e-02,-9.9e-01,-5.4e-01,-8.5e-01,6.3e-01,-2.6e+00,3.6e-01
1.2e+00,6.8e-02,-2.1e+00,-6.2e-01,6.8e-01,1.3e+00,1.1e+00,2.0e-01,1.1e+00,-6.1e-01
7.8e-01,3.8e-01,-7.3e-01,2.0e-01,1.2e+00,-2.1e+00,-2.8e-01,-1.3e+00,3.8e-01,6.8e-01
9.7e-01,9.8e-01,-2.7e+00,5.5e-01,-1.8e+00,-9.2e-01,9.5e-01,-3.7e-01,4.4e-01,1.8e-01
-3.2e-02,1.8e-01,-1.7e-01,-1.5e+00,-8.9e-01,-7.3e-01,4.8e-01,-8.4e-01,1.6e+00,-1.3e+00
-1.3e+00,2.1e-01,-4.1e-02,2.5e-01,-8.7e-01,-3.4e-01,-2.2e+00,-9.1e-02,8.7e-01,1.2e+00
-8.2e-01,-2.4e+00,-1.1e+00,1.2e-01,8.0e-01,-1.2e+00,4.5e-01,2.4e-01,-3.3e-01,7.9e-01
