-7.7e-01,5.6e-01,1.2e-01,1.3e+00,5.5e-01,-5.9e-01,-2.0e-01,-6.3e-01,1.7e-01,-3.1e-03
1.1e+00,1.2e+00,2.6e+00,2.2e+00,7.8e-01,1.1e+00,3.5e-01,-2.1e-01,3.5e-01,1.6e+00
3.0e-01,1.4e-01,1.7e+00,-5.5e-02,1.6e-01,-2.5e+00,-6.9e-01,-7.1e-01,-1.2e+00,-1.2e+00
-9.8e-01,-9.8e-01,1.5e+00,-4.2e-02,1.6e+00,-3.3e-01,8.0e-01,-1.9e-02,1.8e-01,-5.0e-01
4.2e-01,5.5e-01,6.0e-01,7.2e-02,2.0e+00,2.5e-01,-1.5e-01,8.4e-01,1.4e-01,-3.6e-01
-8.8e-01,-8.7e-01,9.1e-01,2.5e+00,2.2e+00,2.7e-02,-7.9e-01,7.3e-01,1.3e+00,-4.0e-01
-2.6e-01,-4.5e-01,6.1e-01,-5.0e-01,-9.0e-02,1.8e+00,-8.4e-01,1.5e+00,1.8e+00,5.7e-01
-4.8e-01,3.9e-01,-3.4e-01,-8.8e-01,8.0e-02,-2.4e-01,6.3e-01,-2.0e+00,6.4e-01,1.0e-01
-3.9e-01,-1.1e-01,8.5e-01,-4.4e-01,9.8e-01,-9.4e-01,-1.8e+00,-5.1e-01,-7.3e-01,1.1e+00
2.8e-01,1.4e+00,1.4e+00,3.2e-01,5.4e-01,9.9e-02,-1.1e-01,-7.6e-01,-1.4e+00,6.6e-01
