7.3e-01,5.4e-01,-2.6e-02,2.4e+00,-1.0e+00,2.1e+00,-2.8e-01,3.1e-02,-5.0e-01,-9.1e-01
6.5e-01,-2.3e+00,-9.3e-01,2.8e-01,-1.2e+00,-4.8e-01,-2.2e-01,-4.2e-01,-8.4e-01,-5.6e-02
2.2e+00,-9.7e-01,1.1e+00,1.4e+00,-1.0e+00,5.6e-01,-7.1e-01,-4.2e-03,7.0e-01,-1.1e+00
3.3e-01,-1.8e+00,4.9e-01,-6.8e-01,-1.4e-02,3.0e-01,5.7e-01,-1.3e+00,-2.0e-01,-1.1e+00
1.3e+00,7.5e-02,-1.3e+00,-2.8e-01,1.5e+00,-3.5e-01,-1.2e+00,-1.2e-01,-3.3e-01,1.9e-01
1.2e+00,9.9e-01,-1.2e+00,9.7e-01,-1.4e-01,2.2e-01,-9.6e-02,-1.4e+00,2.1e-01,1.1e-01
2.8e-02,-1.4e-02,2.1e-01,1.5e+00,-5.2e-01,1.4e+00,-4.1e-01,1.4e+00,6.6e-01,6.3e-01
-1.1e+00,9.3e-01,-1.0e+00,1.3e+00,-8.2e-01,-4.9e-01,6.4e-01,1.1e-01,7.4e-01,-7.5e-01
-1.1e+00,-8.3e-01,6.9e-03,-1.5e-02,8.3e-01,-2.7e-01,2.4e+00,1.5e-01,-5.4e-01,-5.7e-01
-8.0e-01,-9.7e-01,-3.7e-01,-6.8e-01,-1.1e+00,-4.2e-01,9.6e-02,1.2e+00,1.5e+00,5.7e-01
